MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,SCHOOL_NM,배포처
강원도,42,고성군,42820,437088,655069,대진초등학교,biz-gis.com
강원도,42,고성군,42820,435189,659916,명파초등학교,biz-gis.com
강원도,42,고성군,42820,440103,649997,거성초등학교,biz-gis.com
강원도,42,고성군,42820,437060,648869,거진초등학교송정분교,biz-gis.com
강원도,42,고성군,42820,439088,648340,거진초등학교,biz-gis.com
강원도,42,고성군,42820,441248,641697,간성초등학교,biz-gis.com
강원도,42,고성군,42820,436272,641347,광산초등학교,biz-gis.com
강원도,42,고성군,42820,444512,639029,공현진초등학교,biz-gis.com
강원도,42,고성군,42820,445906,636460,죽왕초등학교,biz-gis.com
강원도,42,고성군,42820,446594,634592,오호초등학교,biz-gis.com
강원도,42,양구군,42800,412304,631881,해안초등학교,biz-gis.com
강원도,42,고성군,42820,447794,631905,동광초등학교,biz-gis.com
강원도,42,고성군,42820,448228,630218,아야진초등학교,biz-gis.com
강원도,42,고성군,42820,444134,630050,도학초등학교,biz-gis.com
강원도,42,철원군,42780,343603,629500,도창초등학교,biz-gis.com
강원도,42,고성군,42820,432904,629206,광산초등학교흘리분교,biz-gis.com
강원도,42,철원군,42780,327180,629360,묘장초등학교,biz-gis.com
강원도,42,인제군,42810,418512,628585,서성초등학교,biz-gis.com
강원도,42,고성군,42820,449025,628324,천진초등학교,biz-gis.com
강원도,42,철원군,42780,348911,627874,김화초등학교,biz-gis.com
강원도,42,철원군,42780,345670,627072,청양초등학교,biz-gis.com
강원도,42,철원군,42780,342941,626607,토성초등학교,biz-gis.com
강원도,42,철원군,42780,353844,626331,근남초등학교,biz-gis.com
강원도,42,고성군,42820,448413,626159,인흥초등학교,biz-gis.com
강원도,42,철원군,42780,350652,625989,와수초등학교,biz-gis.com
강원도,42,인제군,42810,418481,625351,서화초등학교,biz-gis.com
강원도,42,철원군,42780,333020,624824,오덕초등학교,biz-gis.com
강원도,42,속초시,42210,451962,624029,영랑초등학교,biz-gis.com
강원도,42,철원군,42780,331157,623736,철원초등학교,biz-gis.com
강원도,42,화천군,42790,370703,623296,산양초등학교,biz-gis.com
강원도,42,양구군,42800,405321,623214,임당초등학교팔랑분교,biz-gis.com
강원도,42,속초시,42210,451418,623203,중앙초등학교,biz-gis.com
강원도,42,양구군,42800,395291,622952,방산초등학교,biz-gis.com
강원도,42,철원군,42780,338651,622714,내대초등학교,biz-gis.com
강원도,42,속초시,42210,450498,622408,교동초등학교,biz-gis.com
강원도,42,철원군,42780,331634,622548,동송초등학교,biz-gis.com
강원도,42,속초시,42210,451134,622279,속초초등학교,biz-gis.com
강원도,42,양구군,42800,403934,622027,임당초등학교,biz-gis.com
강원도,42,속초시,42210,449874,621957,소야초등학교,biz-gis.com
강원도,42,속초시,42210,452584,621567,청호초등학교,biz-gis.com
강원도,42,인제군,42810,429121,621424,용대초등학교,biz-gis.com
강원도,42,철원군,42780,335930,621369,장흥초등학교,biz-gis.com
강원도,42,속초시,42210,450743,621065,청대초등학교,biz-gis.com
강원도,42,속초시,42210,448746,620964,온정초등학교,biz-gis.com
강원도,42,화천군,42790,365015,620825,봉오초등학교,biz-gis.com
강원도,42,양구군,42800,404046,620584,원당초등학교,biz-gis.com
강원도,42,속초시,42210,451614,620719,청봉초등학교,biz-gis.com
강원도,42,속초시,42210,452562,620762,조양초등학교,biz-gis.com
강원도,42,철원군,42780,340404,620533,문혜초등학교,biz-gis.com
강원도,42,화천군,42790,371431,619358,상승초등학교노동분교,biz-gis.com
강원도,42,화천군,42790,359462,619306,다목초등학교,biz-gis.com
강원도,42,속초시,42210,453101,619160,대포초등학교,biz-gis.com
강원도,42,인제군,42810,418518,618684,월학초등학교,biz-gis.com
강원도,42,철원군,42780,349039,618529,서면초등학교,biz-gis.com
강원도,42,속초시,42210,447583,618006,설악초등학교,biz-gis.com
강원도,42,철원군,42780,333729,618146,용정초등학교,biz-gis.com
강원도,42,화천군,42790,369315,617040,상승초등학교,biz-gis.com
강원도,42,양양군,42830,453114,616422,강현초등학교,biz-gis.com
강원도,42,양구군,42800,401634,616175,한전초등학교,biz-gis.com
강원도,42,인제군,42810,409722,616193,원통초등학교신덕분교,biz-gis.com
강원도,42,화천군,42790,377608,616270,풍산초등학교,biz-gis.com
강원도,42,철원군,42780,339308,616167,신철원초등학교,biz-gis.com
강원도,42,인제군,42810,422747,615392,한계초등학교,biz-gis.com
강원도,42,양양군,42830,450784,614838,회룡초등학교,biz-gis.com
강원도,42,화천군,42790,359142,613201,실내초등학교,biz-gis.com
강원도,42,인제군,42810,417734,613053,원통초등학교,biz-gis.com
강원도,42,철원군,42780,338301,612792,강포초등학교,biz-gis.com
강원도,42,양양군,42830,455646,612456,조산초등학교,biz-gis.com
강원도,42,양구군,42800,399148,611890,비봉초등학교,biz-gis.com
강원도,42,화천군,42790,371232,611870,화천초등학교논미분교,biz-gis.com
강원도,42,양구군,42800,403266,611810,용하초등학교,biz-gis.com
강원도,42,화천군,42790,374687,611405,화천초등학교,biz-gis.com
강원도,42,양구군,42800,399403,611042,양구초등학교,biz-gis.com
강원도,42,양양군,42830,457808,609823,송포초등학교,biz-gis.com
강원도,42,화천군,42790,373833,609614,용암초등학교,biz-gis.com
강원도,42,양구군,42800,402100,608616,도촌초등학교,biz-gis.com
강원도,42,양양군,42830,454775,608424,양양초등학교,biz-gis.com
강원도,42,인제군,42810,415888,608061,인제초등학교,biz-gis.com
강원도,42,양양군,42830,442261,608041,오색초등학교,biz-gis.com
강원도,42,양양군,42830,451622,607987,상평초등학교,biz-gis.com
강원도,42,양구군,42800,399576,607528,죽리초등학교,biz-gis.com
강원도,42,화천군,42790,358026,607457,사내초등학교,biz-gis.com
강원도,42,화천군,42790,355842,607265,광덕초등학교,biz-gis.com
강원도,42,인제군,42810,415072,606833,인제남초등학교,biz-gis.com
강원도,42,양양군,42830,456593,606556,손양초등학교,biz-gis.com
강원도,42,화천군,42790,370951,606362,원천초등학교,biz-gis.com
강원도,42,인제군,42810,428717,606253,인제초등학교가리산분교,biz-gis.com
강원도,42,양양군,42830,453498,606085,한남초등학교,biz-gis.com
강원도,42,화천군,42790,381904,605760,유촌초등학교,biz-gis.com
강원도,42,화천군,42790,384575,605720,오음초등학교,biz-gis.com
강원도,42,양양군,42830,449144,604506,상평초등학교공수전분교,biz-gis.com
강원도,42,춘천시,42110,369019,603980,지촌초등학교,biz-gis.com
경기도,41,가평군,41820,352251,596611,목동초등학교명지분교,biz-gis.com
강원도,42,인제군,42810,406902,602860,부평초등학교신월분교,biz-gis.com
강원도,42,춘천시,42110,389853,602417,추곡초등학교,biz-gis.com
강원도,42,인제군,42810,441865,601806,기린초등학교진동분교,biz-gis.com
강원도,42,양양군,42830,463859,601973,광정초등학교,biz-gis.com
강원도,42,인제군,42810,431826,601677,귀둔초등학교,biz-gis.com
강원도,42,양양군,42830,461434,601661,현북초등학교,biz-gis.com
강원도,42,춘천시,42110,374500,598369,송화초등학교,biz-gis.com
강원도,42,양양군,42830,446729,598459,상평초등학교현서분교,biz-gis.com
강원도,42,춘천시,42110,365684,597666,지촌초등학교지암분교,biz-gis.com
강원도,42,인제군,42810,407558,596425,부평초등학교,biz-gis.com
강원도,42,양양군,42830,466829,596389,인구초등학교,biz-gis.com
강원도,42,인제군,42810,428261,595172,기린초등학교,biz-gis.com
강원도,42,인제군,42810,433075,594829,기린초등학교방동분교,biz-gis.com
강원도,42,양양군,42830,458649,594544,현성초등학교,biz-gis.com
강원도,42,춘천시,42110,378925,594309,오동초등학교,biz-gis.com
강원도,42,양양군,42830,468818,594032,남애초등학교,biz-gis.com
강원도,42,춘천시,42110,381281,592358,상천초등학교,biz-gis.com
강원도,42,인제군,42810,405650,592258,어론초등학교,biz-gis.com
강원도,42,춘천시,42110,375813,592009,신동초등학교,biz-gis.com
강원도,42,춘천시,42110,374457,591850,서상초등학교,biz-gis.com
강원도,42,춘천시,42110,377826,591639,천전초등학교,biz-gis.com
강원도,42,양양군,42830,468493,591709,인구초등학교임호분교,biz-gis.com
강원도,42,춘천시,42110,378571,589883,춘천삼육초등학교,biz-gis.com
강원도,42,인제군,42810,425256,589870,하남초등학교,biz-gis.com
강원도,42,춘천시,42110,381038,589566,가산초등학교,biz-gis.com
강원도,42,강릉시,42150,472499,589664,신영초등학교,biz-gis.com
강원도,42,춘천시,42110,377314,589138,소양초등학교,biz-gis.com
강원도,42,춘천시,42110,373750,589000,금산초등학교,biz-gis.com
강원도,42,강릉시,42150,472904,588675,주영초등학교,biz-gis.com
강원도,42,춘천시,42110,375821,587437,근화초등학교,biz-gis.com
강원도,42,강릉시,42150,472881,587417,주문초등학교,biz-gis.com
강원도,42,춘천시,42110,378661,586862,만천초등학교,biz-gis.com
강원도,42,춘천시,42110,377688,586695,후평초등학교,biz-gis.com
강원도,42,춘천시,42110,377075,586503,교동초등학교,biz-gis.com
강원도,42,춘천시,42110,375940,586281,중앙초등학교,biz-gis.com
경기도,41,가평군,41820,360449,586341,목동초등학교,biz-gis.com
강원도,42,강릉시,42150,469567,586495,주문초등학교삼덕분교,biz-gis.com
강원도,42,춘천시,42110,377545,586125,동춘천초등학교,biz-gis.com
강원도,42,춘천시,42110,378178,586056,부안초등학교,biz-gis.com
강원도,42,춘천시,42110,376399,585956,봉의초등학교,biz-gis.com
강원도,42,춘천시,42110,375673,585829,춘천초등학교,biz-gis.com
강원도,42,춘천시,42110,379123,585807,호반초등학교,biz-gis.com
강원도,42,인제군,42810,423187,585588,상남초등학교,biz-gis.com
강원도,42,춘천시,42110,377137,585368,효제초등학교,biz-gis.com
강원도,42,춘천시,42110,378616,585370,동부초등학교,biz-gis.com
강원도,42,춘천시,42110,376528,585185,춘천교육대학교부설초등학교,biz-gis.com
강원도,42,홍천군,42720,401689,585022,두촌초등학교,biz-gis.com
강원도,42,춘천시,42110,378189,584675,우석초등학교,biz-gis.com
강원도,42,춘천시,42110,375736,584312,남춘천초등학교,biz-gis.com
경기도,41,가평군,41820,357453,584303,가평마장초등학교,biz-gis.com
강원도,42,춘천시,42110,376142,584033,남부초등학교,biz-gis.com
강원도,42,춘천시,42110,378138,583846,석사초등학교,biz-gis.com
강원도,42,강릉시,42150,473214,584041,연곡초등학교,biz-gis.com
강원도,42,춘천시,42110,377480,583696,봄내초등학교,biz-gis.com
강원도,42,강릉시,42150,469516,583725,신왕초등학교,biz-gis.com
강원도,42,춘천시,42110,377369,583321,성림초등학교,biz-gis.com
강원도,42,춘천시,42110,379615,583176,동내초등학교,biz-gis.com
강원도,42,춘천시,42110,377700,582922,성원초등학교,biz-gis.com
강원도,42,춘천시,42110,374836,582249,신남초등학교,biz-gis.com
강원도,42,춘천시,42110,365696,581761,당림초등학교,biz-gis.com
경기도,41,가평군,41820,337583,581862,율길초등학교,biz-gis.com
강원도,42,강릉시,42150,475807,581940,운양초등학교,biz-gis.com
강원도,42,춘천시,42110,361043,581546,남산초등학교서천분교,biz-gis.com
경기도,41,가평군,41820,356851,581017,가평초등학교,biz-gis.com
강원도,42,홍천군,42720,423632,580403,율전초등학교방내분교,biz-gis.com
강원도,42,강릉시,42150,475075,580232,사천초등학교,biz-gis.com
경기도,41,가평군,41820,342874,580082,조종초등학교,biz-gis.com
강원도,42,홍천군,42720,436650,579946,원당초등학교,biz-gis.com
강원도,42,홍천군,42720,407764,579252,내촌초등학교,biz-gis.com
강원도,42,춘천시,42110,375034,579215,금병초등학교,biz-gis.com
강원도,42,홍천군,42720,399406,578407,철정초등학교,biz-gis.com
경기도,41,가평군,41820,354846,578222,상색초등학교,biz-gis.com
강원도,42,강릉시,42150,479492,578396,경포대초등학교,biz-gis.com
경기도,41,가평군,41820,342285,578048,연하초등학교,biz-gis.com
강원도,42,홍천군,42720,388333,576824,화계초등학교대룡분교,biz-gis.com
강원도,42,춘천시,42110,368985,576767,남산초등학교,biz-gis.com
강원도,42,홍천군,42720,412893,575895,동창초등학교,biz-gis.com
강원도,42,강릉시,42150,480689,575818,초당초등학교,biz-gis.com
경기도,41,가평군,41820,344806,575001,상면초등학교,biz-gis.com
강원도,42,강릉시,42150,482046,575159,동명초등학교,biz-gis.com
강원도,42,강릉시,42150,480736,575014,한솔초등학교,biz-gis.com
강원도,42,강릉시,42150,480018,574847,포남초등학교,biz-gis.com
강원도,42,홍천군,42720,397250,574415,화촌초등학교,biz-gis.com
경기도,41,가평군,41820,352287,574322,상천초등학교,biz-gis.com
강원도,42,강릉시,42150,477697,574482,경포초등학교,biz-gis.com
강원도,42,홍천군,42720,434381,573984,창촌초등학교,biz-gis.com
강원도,42,강릉시,42150,480794,574281,남강초등학교,biz-gis.com
강원도,42,강릉시,42150,478874,574219,교동초등학교,biz-gis.com
강원도,42,강릉시,42150,477901,574093,율곡초등학교,biz-gis.com
강원도,42,홍천군,42720,415808,573690,서석초등학교항곡분교,biz-gis.com
강원도,42,강릉시,42150,478314,573421,영동초등학교,biz-gis.com
강원도,42,강릉시,42150,474840,573263,송양초등학교,biz-gis.com
강원도,42,강릉시,42150,481537,573187,중앙초등학교,biz-gis.com
강원도,42,강릉시,42150,480404,573096,성덕초등학교,biz-gis.com
강원도,42,강릉시,42150,479710,573071,옥천초등학교,biz-gis.com
강원도,42,홍천군,42720,398074,572609,삼포초등학교,biz-gis.com
강원도,42,강릉시,42150,478453,572674,강릉초등학교,biz-gis.com
강원도,42,춘천시,42110,382184,572073,조양초등학교,biz-gis.com
강원도,42,홍천군,42720,427306,571945,율전초등학교,biz-gis.com
강원도,42,강릉시,42150,478812,571771,남산초등학교,biz-gis.com
강원도,42,홍천군,42720,389433,571244,화계초등학교성동분교,biz-gis.com
강원도,42,강릉시,42150,477595,571516,명주초등학교,biz-gis.com
강원도,42,강릉시,42150,479638,571396,노암초등학교,biz-gis.com
강원도,42,홍천군,42720,394840,570696,구송초등학교,biz-gis.com
경기도,41,가평군,41820,349238,570761,청평초등학교,biz-gis.com
강원도,42,강릉시,42150,479641,570286,모산초등학교,biz-gis.com
강원도,42,춘천시,42110,373659,569836,광판초등학교,biz-gis.com
강원도,42,강릉시,42150,482870,570114,옥천초등학교운산분교,biz-gis.com
강원도,42,홍천군,42720,395049,569432,주봉초등학교와동분교,biz-gis.com
강원도,42,강릉시,42150,485106,569567,강동초등학교,biz-gis.com
강원도,42,강릉시,42150,473626,568800,성산초등학교,biz-gis.com
강원도,42,강릉시,42150,478764,568755,구정초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,299005,568754,내유초등학교,biz-gis.com
강원도,42,홍천군,42720,416755,567765,서석초등학교,biz-gis.com
강원도,42,홍천군,42720,386864,567613,화계초등학교,biz-gis.com
강원도,42,평창군,42760,453016,567565,진부초등학교월정분교,biz-gis.com
강원도,42,홍천군,42720,392592,567378,주봉초등학교,biz-gis.com
경기도,41,고양시 일산동구,41285,295462,567864,성석초등학교,biz-gis.com
강원도,42,강릉시,42150,480802,567233,금광초등학교,biz-gis.com
경기도,41,가평군,41820,359651,566901,미원초등학교장락분교,biz-gis.com
경기도,41,고양시 덕양구,41281,303191,567304,고양초등학교,biz-gis.com
경기도,41,고양시 일산서구,41287,291444,567246,호곡초등학교,biz-gis.com
강원도,42,홍천군,42720,420101,566462,삼생초등학교,biz-gis.com
경기도,41,고양시 일산서구,41287,291567,566899,황룡초등학교,biz-gis.com
강원도,42,홍천군,42720,390844,566159,석화초등학교,biz-gis.com
경기도,41,고양시 일산동구,41285,292799,566686,고봉초등학교,biz-gis.com
경기도,41,고양시 일산동구,41285,298207,566568,벽제초등학교,biz-gis.com
경기도,41,고양시 일산서구,41287,291440,566574,상탄초등학교,biz-gis.com
강원도,42,홍천군,42720,367549,565839,모곡초등학교강야분교,biz-gis.com
강원도,42,홍천군,42720,390001,565587,홍천초등학교,biz-gis.com
경기도,41,고양시 일산서구,41287,289815,566331,덕이초등학교,biz-gis.com
강원도,42,홍천군,42720,365110,565704,한서초등학교,biz-gis.com
경기도,41,고양시 일산서구,41287,291820,566233,현산초등학교,biz-gis.com
강원도,42,홍천군,42720,370666,565405,반곡초등학교,biz-gis.com
경기도,41,고양시 일산동구,41285,292922,565982,중산초등학교,biz-gis.com
강원도,42,평창군,42760,461317,565342,도암초등학교,biz-gis.com
강원도,42,홍천군,42720,417090,565126,서석초등학교청량분교,biz-gis.com
강원도,42,강릉시,42150,491344,565509,정동초등학교,biz-gis.com
경기도,41,고양시 일산서구,41287,287389,565571,송포초등학교,biz-gis.com
경기도,41,고양시 일산동구,41285,292736,565404,안곡초등학교,biz-gis.com
경기도,41,고양시 일산서구,41287,290570,565451,성저초등학교,biz-gis.com
경기도,41,고양시 일산서구,41287,291863,565185,일산초등학교,biz-gis.com
경기도,41,가평군,41820,345310,564698,대성초등학교,biz-gis.com
강원도,42,홍천군,42720,389424,564506,남산초등학교,biz-gis.com
경기도,41,고양시 일산서구,41287,291336,565037,신촌초등학교,biz-gis.com
경기도,41,가평군,41820,355284,564244,미원초등학교,biz-gis.com
경기도,41,고양시 일산서구,41287,291750,564798,고양신일초등학교,biz-gis.com
경기도,41,고양시 일산서구,41287,289935,564667,장성초등학교,biz-gis.com
강원도,42,강릉시,42150,485719,564320,임곡초등학교,biz-gis.com
경기도,41,고양시 일산서구,41287,291055,564532,오마초등학교,biz-gis.com
강원도,42,홍천군,42720,364957,563876,모곡초등학교,biz-gis.com
강원도,42,홍천군,42720,377942,563780,화계초등학교노일분교,biz-gis.com
강원도,42,평창군,42760,462947,563958,횡계초등학교,biz-gis.com
경기도,41,고양시 일산동구,41285,292497,564353,율동초등학교,biz-gis.com
경기도,41,고양시 일산서구,41287,291484,564298,문화초등학교,biz-gis.com
경기도,41,고양시 일산동구,41285,295204,564093,원중초등학교,biz-gis.com
강원도,42,강릉시,42150,473970,563775,왕산초등학교,biz-gis.com
경기도,41,고양시 일산서구,41287,290847,564168,문촌초등학교,biz-gis.com
경기도,41,고양시 일산서구,41287,289793,564130,장촌초등학교,biz-gis.com
경기도,41,고양시 일산서구,41287,288367,563952,대화초등학교,biz-gis.com
경기도,41,고양시 일산서구,41287,291251,563904,강선초등학교,biz-gis.com
강원도,42,평창군,42760,453104,563331,도성초등학교,biz-gis.com
경기도,41,가평군,41820,357431,563227,미원초등학교위곡분교,biz-gis.com
경기도,41,고양시 덕양구,41281,301697,563625,신원초등학교,biz-gis.com
경기도,41,고양시 일산동구,41285,294906,563659,일산은행초등학교,biz-gis.com
경기도,41,고양시 일산서구,41287,290576,563684,한수초등학교,biz-gis.com
강원도,42,홍천군,42720,401446,562889,노천초등학교,biz-gis.com
경기도,41,고양시 일산동구,41285,292055,563539,저동초등학교,biz-gis.com
경기도,41,고양시 일산서구,41287,290956,563473,주엽초등학교,biz-gis.com
경기도,41,고양시 일산동구,41285,293089,563362,냉천초등학교,biz-gis.com
경기도,41,고양시 일산동구,41285,294059,563349,풍산초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,297440,562816,원당초등학교,biz-gis.com
강원도,42,홍천군,42720,385321,562058,오안초등학교,biz-gis.com
경기도,41,고양시 일산동구,41285,293527,562366,백마초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,298198,562317,성사초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,302817,562194,삼송초등학교,biz-gis.com
경기도,41,고양시 일산동구,41285,292892,562153,정발초등학교,biz-gis.com
경기도,41,고양시 일산동구,41285,292571,561947,낙민초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,297242,561724,성라초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,304438,561576,지축초등학교,biz-gis.com
경기도,41,고양시 일산동구,41285,293360,561737,고양백석초등학교,biz-gis.com
경기도,41,고양시 일산동구,41285,292899,561542,금계초등학교,biz-gis.com
경기도,41,고양시 일산동구,41285,292387,561203,호수초등학교,biz-gis.com
강원도,42,평창군,42760,443631,560505,속사초등학교,biz-gis.com
강원도,42,홍천군,42720,393747,560312,속초초등학교(홍천),biz-gis.com
강원도,42,홍천군,42720,393748,560305,속초초등학교월운분교,biz-gis.com
경기도,41,고양시 덕양구,41281,297184,560951,고양화수초등학교,biz-gis.com
경기도,41,고양시 일산동구,41285,292657,560876,백신초등학교,biz-gis.com
강원도,42,평창군,42760,450469,560158,호명초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,295404,560514,대곡초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,297467,560436,화중초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,296900,560415,용정초등학교,biz-gis.com
강원도,42,평창군,42760,449351,559813,진부초등학교,biz-gis.com
경기도,41,고양시 일산동구,41285,291603,560292,백마초등학교장항분교,biz-gis.com
강원도,42,홍천군,42720,401275,559277,속초초등학교좌운분교,biz-gis.com
강원도,42,강릉시,42150,492296,559684,금진초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,296585,559692,고양화정초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,297464,559462,백양초등학교,biz-gis.com
강원도,42,횡성군,42730,413050,558692,춘당초등학교,biz-gis.com
경기도,41,가평군,41820,355962,558694,방일초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,300440,559145,흥도초등학교,biz-gis.com
강원도,42,홍천군,42720,369164,558539,대곡초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,297266,559039,지도초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,297828,558884,성신초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,295662,558673,능곡초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,297034,558570,신능초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,297990,558527,가람초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,297529,558345,행신초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,302491,558242,용두초등학교,biz-gis.com
강원도,42,홍천군,42720,379681,557585,명덕초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,297052,557867,무원초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,296579,557867,토당초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,297768,557842,소만초등학교,biz-gis.com
강원도,42,평창군,42760,433843,557102,봉평초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,298010,557571,행남초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,297620,557585,고양용현초등학교,biz-gis.com
강원도,42,강릉시,42150,491567,556895,옥계초등학교,biz-gis.com
강원도,42,평창군,42760,447186,555938,거문초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,296418,556318,행주초등학교,biz-gis.com
경기도,41,고양시 덕양구,41281,300621,556276,덕은초등학교,biz-gis.com
강원도,42,홍천군,42720,384202,554850,협신초등학교,biz-gis.com
강원도,42,횡성군,42730,419487,554528,청일초등학교신대분교,biz-gis.com
강원도,42,평창군,42760,436571,554475,장평초등학교,biz-gis.com
강원도,42,홍천군,42720,386583,554332,매산초등학교,biz-gis.com
강원도,42,동해시,42170,496445,554813,망상초등학교,biz-gis.com
강원도,42,횡성군,42730,413144,553268,청일초등학교,biz-gis.com
강원도,42,강릉시,42150,491237,553544,옥계초등학교남양분교,biz-gis.com
강원도,42,횡성군,42730,420217,551657,둔내초등학교덕성분교,biz-gis.com
강원도,42,횡성군,42730,403755,551466,당평초등학교,biz-gis.com
강원도,42,평창군,42760,431096,551460,면온초등학교,biz-gis.com
강원도,42,동해시,42170,498153,551251,창호초등학교,biz-gis.com
강원도,42,횡성군,42730,409700,550600,갑천초등학교,biz-gis.com
강원도,42,동해시,42170,497584,550585,묵호초등학교,biz-gis.com
강원도,42,동해시,42170,497517,549625,동호초등학교,biz-gis.com
강원도,42,횡성군,42730,414504,548385,갑천초등학교금성분교,biz-gis.com
강원도,42,동해시,42170,498297,549052,남호초등학교,biz-gis.com
강원도,42,평창군,42760,440599,548415,신리초등학교,biz-gis.com
강원도,42,횡성군,42730,400866,547974,수백초등학교,biz-gis.com
강원도,42,횡성군,42730,396806,547922,공근초등학교,biz-gis.com
강원도,42,횡성군,42730,393716,547437,공근초등학교광덕분교,biz-gis.com
강원도,42,정선군,42770,483468,547715,임계초등학교군대분교,biz-gis.com
강원도,42,횡성군,42730,389149,547140,유현초등학교,biz-gis.com
강원도,42,동해시,42170,498208,547586,동해중앙초등학교,biz-gis.com
강원도,42,동해시,42170,497453,547121,동해삼육초등학교,biz-gis.com
강원도,42,동해시,42170,498158,546704,천곡초등학교,biz-gis.com
강원도,42,정선군,42770,464919,546114,여량초등학교구절분교,biz-gis.com
강원도,42,횡성군,42730,419424,545672,둔내초등학교,biz-gis.com
강원도,42,동해시,42170,499243,546091,동해초등학교,biz-gis.com
강원도,42,횡성군,42730,409452,544783,정금초등학교,biz-gis.com
강원도,42,평창군,42760,440598,544017,대화초등학교,biz-gis.com
강원도,42,정선군,42770,475248,544113,임계초등학교,biz-gis.com
강원도,42,동해시,42170,497510,544310,북삼초등학교,biz-gis.com
강원도,42,횡성군,42730,403404,543724,창림초등학교,biz-gis.com
강원도,42,동해시,42170,499454,544213,송정초등학교,biz-gis.com
강원도,42,평창군,42760,427106,543250,계촌초등학교대미분교,biz-gis.com
강원도,42,횡성군,42730,399467,543113,성북초등학교,biz-gis.com
강원도,42,횡성군,42730,398381,542808,횡성초등학교,biz-gis.com
강원도,42,횡성군,42730,387036,542766,서원초등학교,biz-gis.com
경기도,41,광명시,41210,300093,543352,광명북초등학교,biz-gis.com
강원도,42,동해시,42170,497834,543127,청운초등학교,biz-gis.com
강원도,42,동해시,42170,494672,543078,삼화초등학교,biz-gis.com
경기도,41,광명시,41210,299691,543012,광명동초등학교,biz-gis.com
강원도,42,동해시,42170,499641,542815,북평초등학교,biz-gis.com
경기도,41,광명시,41210,300497,542416,광명광성초등학교,biz-gis.com
경기도,41,광명시,41210,298852,542106,광명남초등학교,biz-gis.com
경기도,41,광명시,41210,299893,541868,광명광덕초등학교,biz-gis.com
강원도,42,정선군,42770,464590,541320,여량초등학교,biz-gis.com
강원도,42,삼척시,42230,502964,541108,삼척중앙초등학교,biz-gis.com
강원도,42,횡성군,42730,413833,540280,안흥초등학교덕천분교,biz-gis.com
강원도,42,횡성군,42730,397796,540287,성남초등학교,biz-gis.com
강원도,42,횡성군,42730,405693,539879,우천초등학교,biz-gis.com
강원도,42,평창군,42760,438619,539862,안미초등학교,biz-gis.com
경기도,41,광명시,41210,301043,540162,가림초등학교,biz-gis.com
강원도,42,정선군,42770,459824,539364,북평초등학교,biz-gis.com
강원도,42,평창군,42760,427080,538999,계촌초등학교,biz-gis.com
강원도,42,삼척시,42230,503455,539187,삼척초등학교,biz-gis.com
강원도,42,평창군,42760,442906,538514,가평초등학교,biz-gis.com
강원도,42,원주시,42130,398346,538262,둔둔초등학교,biz-gis.com
강원도,42,원주시,42130,393800,538230,고산초등학교,biz-gis.com
강원도,42,삼척시,42230,504253,538818,정라초등학교,biz-gis.com
강원도,42,삼척시,42230,501969,538071,서부초등학교,biz-gis.com
강원도,42,원주시,42130,405108,537040,교학초등학교,biz-gis.com
강원도,42,삼척시,42230,503301,537499,진주초등학교,biz-gis.com
강원도,42,정선군,42770,458925,536802,남평초등학교,biz-gis.com
강원도,42,평창군,42760,434852,536257,방림초등학교,biz-gis.com
강원도,42,원주시,42130,390764,535909,산현초등학교,biz-gis.com
강원도,42,삼척시,42230,505350,536442,삼척남초등학교,biz-gis.com
강원도,42,횡성군,42730,414748,535420,안흥초등학교,biz-gis.com
강원도,42,원주시,42130,400563,535050,소초초등학교,biz-gis.com
강원도,42,삼척시,42230,498899,535309,미로초등학교,biz-gis.com
강원도,42,원주시,42130,393669,534365,호저초등학교,biz-gis.com
강원도,42,원주시,42130,396115,532915,장양초등학교,biz-gis.com
강원도,42,삼척시,42230,507634,533608,맹방초등학교,biz-gis.com
